VentaID,LineaID,FechaVenta,ProductoID,TiendaID,ClienteID,CanalID,EmpleadoID,MetodoPagoID,Cantidad,PrecioUnitario,CostoUnitario
V00012,3,17/11/2024,P103,T001,C0154,CH01,E007,MP03,8,201.1,90.98
V00012,4,17/11/2024,P128,T001,C0465,CH01,E064,MP03,8,539.89,248.19
V00013,1,21/05/2025,P076,T013,C0973,CH02,E000,MP03,7,666.84,297.44
V00013,2,21/05/2025,P062,T013,C0982,CH02,E000,MP03,8,699.33,296.86
V00014,1,25/01/2023,P078,T001,C0988,CH01,E077,MP03,3,679.24,295.88
V00014,2,25/01/2023,P115,T001,C0881,CH01,E046,MP03,4,375.8,258.51
V00014,3,25/01/2023,P012,T001,C0658,CH01,E083,MP03,8,605.99,264.84
V00014,4,25/01/2023,P061,T001,C0881,CH01,E066,MP03,8,248.46,204.15
V00015,1,18/03/2025,P117,T001,C0928,CH03,E000,MP03,5,481.3,250.61
V00015,2,18/03/2025,P019,T001,C0096,CH03,E000,MP03,9,381.49,298.56
V00015,3,18/03/2025,P117,T001,C0928,CH03,E000,MP03,9,392.72,188.39
V00016,1,02/07/2023,P061,T009,C0738,CH02,E000,MP02,4,124.77,59.39
V00016,2,02/07/2023,P046,T009,C0801,CH02,E000,MP03,10,131.6,97.06
V00016,3,02/07/2023,P103,T009,C0154,CH02,E000,MP01,10,99.71,46.45
V00016,4,02/07/2023,P004,T009,C0938,CH02,E000,MP01,6,205.89,116.33
V00017,1,10/07/2024,P012,T021,C0002,CH01,E060,MP02,10,449.9,207.39
V00018,1,28/12/2024,P100,T010,C0044,CH03,E000,MP02,7,297.43,206.05
V00018,2,28/12/2024,P106,T010,C0801,CH03,E000,MP02,9,319.65,229.13
V00019,1,17/07/2025,P002,T021,C0982,CH03,E000,MP01,10,651.58,280.53
V00020,1,02/01/2025,P143,T013,C0865,CH03,E000,MP03,9,604.14,274.0
V00020,2,02/01/2025,P011,T009,C0658,CH03,E000,MP03,7,397.71,234.17
V00020,3,02/01/2025,P117,T021,C0096,CH03,E000,MP03,3,268.71,121.35
V00020,4,02/01/2025,P076,T009,C0184,CH03,E000,MP03,5,50.56,26.15
V00021,1,25/01/2026,P011,T009,C0784,CH02,E000,MP01,3,175.35,123.71
V00021,2,25/01/2026,P054,T010,C0046,CH02,E000,MP01,1,212.32,97.04
V00022,1,29/01/2024,P007,T005,C0154,CH02,E000,MP03,9,354.02,174.24
V00022,2,29/01/2024,P126,T005,C0881,CH02,E000,MP03,1,309.62,148.14
V00022,3,29/01/2024,P082,T005,C0141,CH02,E000,MP03,8,28.07,16.43
V00023,1,27/10/2024,P027,T009,C0784,CH02,E000,MP01,9,91.14,69.41
V00023,2,27/10/2024,P012,T009,C0988,CH02,E000,MP01,5,275.59,194.39
V00024,1,06/10/2024,P061,T021,C0494,CH01,E059,MP01,6,180.73,125.39
V00025,1,17/07/2025,P040,T005,C0436,CH03,E000,MP02,9,57.92,29.69
V00026,1,06/12/2023,P126,T013,C0928,CH03,E000,MP02,6,46.82,31.67
V00026,2,06/12/2023,P083,T010,C0881,CH03,E000,MP02,10,244.65,140.48
V00027,1,19/06/2024,P040,T010,C0988,CH01,E004,MP02,1,177.96,84.09
V00028,1,19/10/2023,P143,T013,C0973,CH01,E064,MP03,10,137.56,90.71
V00028,2,19/10/2023,P027,T005,C0154,CH01,E065,MP03,3,220.97,128.56
V00028,3,19/10/2023,P100,T010,C0982,CH01,E060,MP03,5,140.93,112.99
V00028,4,19/10/2023,P012,T009,C0938,CH01,E032,MP03,6,70.37,57.18
V00029,1,17/10/2024,P027,T010,C0184,CH01,E054,MP02,10,63.32,38.11
V00030,1,08/02/2025,P027,T009,C0395,CH02,E000,MP03,5,193.0,85.27
V00031,1,13/11/2023,P002,T009,C0044,CH02,E000,MP03,2,35.16,25.96
V00031,2,13/11/2023,P115,T009,C0154,CH02,E000,MP03,6,218.53,141.52
V00031,3,13/11/2023,P082,T009,C0096,CH02,E000,MP03,5,261.65,134.87
V00031,4,13/11/2023,P019,T009,C0395,CH02,E000,MP03,6,20.06,10.48
V00032,1,21/06/2025,P103,T005,C0738,CH02,E000,MP02,3,90.26,49.18
V00033,1,08/02/2026,P059,T001,C0658,CH03,E000,MP01,9,377.06,191.95
V00033,2,08/02/2026,P078,T013,C0973,CH03,E000,MP01,5,125.86,64.54
V00033,3,08/02/2026,P054,T021,C0044,CH03,E000,MP03,9,391.93,208.12
V00033,4,08/02/2026,P103,T009,C0395,CH03,E000,MP03,10,364.57,200.96
V00034,1,23/11/2024,P062,T010,C0184,CH02,E000,MP01,7,216.68,154.67
V00034,2,23/11/2024,P076,T010,C0562,CH02,E000,MP01,4,571.68,295.49
V00034,3,23/11/2024,P019,T010,C0660,CH02,E000,MP01,3,418.7,264.79
V00035,1,10/04/2023,P027,T009,C0708,CH02,E000,MP02,6,569.32,273.15
V00035,2,10/04/2023,P115,T005,C0938,CH02,E000,MP02,8,354.89,225.59
V00035,3,10/04/2023,P076,T010,C0579,CH02,E000,MP02,7,328.65,266.19
V00035,4,10/04/2023,P105,T010,C0928,CH02,E000,MP02,10,222.94,145.94
V00036,1,16/03/2024,P076,T010,C0881,CH02,E000,MP01,9,241.95,184.96
V00037,1,16/05/2025,P078,T013,C0154,CH03,E000,MP03,7,474.13,267.41
V00037,2,16/05/2025,P123,T013,C0938,CH03,E000,MP03,9,286.03,140.59
V00037,3,16/05/2025,P002,T013,C0044,CH03,E000,MP03,6,164.94,133.72
V00037,4,16/05/2025,P103,T009,C0658,CH03,E000,MP03,1,445.28,233.38
V00038,1,26/11/2023,P128,T001,C0708,CH01,E060,MP01,6,267.08,109.51
V00038,2,26/11/2023,P059,T001,C0708,CH01,E015,MP01,1,62.68,42.97
V00039,1,09/03/2025,P016,T010,C0562,CH03,E000,MP01,4,191.79,131.71
V00039,2,09/03/2025,P054,T009,C0184,CH03,E000,MP01,8,361.07,284.78
V00039,3,09/03/2025,P007,T005,C0141,CH03,E000,MP01,5,210.68,139.28
V00039,4,09/03/2025,P128,T021,C0881,CH03,E000,MP01,3,158.77,74.77
V00040,1,02/12/2025,P011,T013,C0528,CH01,E077,MP02,5,336.52,222.48
V00040,2,02/12/2025,P004,T013,C0708,CH01,E032,MP02,1,106.09,64.46
V00040,3,02/12/2025,P027,T009,C0708,CH01,E059,MP02,7,494.82,229.22
V00040,4,02/12/2025,P053,T010,C0938,CH01,E059,MP02,9,291.34,119.55
V00041,1,25/07/2025,P004,T005,C0579,CH02,E000,MP01,10,362.25,181.2
V00041,2,25/07/2025,P011,T001,C0881,CH02,E000,MP01,2,187.73,76.35
V00041,3,25/07/2025,P016,T010,C0658,CH02,E000,MP01,2,174.32,143.18
V00042,1,21/01/2026,P106,T001,C0801,CH02,E000,MP01,3,495.51,223.11
V00043,1,15/06/2025,P103,T005,C0784,CH03,E000,MP03,1,222.34,115.94
V00043,2,15/06/2025,P126,T021,C0528,CH03,E000,MP03,10,384.93,293.32
V00043,3,15/06/2025,P027,T001,C0465,CH03,E000,MP03,10,137.95,65.79
V00043,4,15/06/2025,P115,T013,C0465,CH03,E000,MP03,2,8.0,6.38
V00044,1,15/06/2023,P128,T013,C0115,CH01,E012,MP01,10,285.82,128.1
V00045,1,20/06/2023,P059,T010,C0982,CH03,E000,MP02,1,389.89,172.46
V00046,1,04/09/2024,P105,T001,C0940,CH01,E064,MP03,7,247.06,161.53
V00046,2,04/09/2024,P027,T001,C0184,CH01,E004,MP03,2,128.95,56.24
V00046,3,04/09/2024,P062,T001,C0660,CH01,E004,MP03,8,38.62,30.29
V00047,1,03/01/2026,P123,T001,C0738,CH01,E054,MP01,5,163.77,117.4
V00047,2,03/01/2026,P082,T013,C0801,CH01,E007,MP01,9,224.77,102.28
V00047,3,03/01/2026,P053,T021,C0115,CH01,E059,MP01,10,326.51,231.72
V00048,1,28/07/2023,P115,T010,C0096,CH03,E000,MP02,8,245.66,100.61
V00048,2,28/07/2023,P059,T009,C0781,CH03,E000,MP02,7,267.4,125.88
V00049,1,25/06/2023,P117,T005,C0938,CH02,E000,MP01,2,84.99,58.34
V00049,2,25/06/2023,P082,T021,C0154,CH02,E000,MP03,5,440.23,260.64
V00049,3,25/06/2023,P054,T009,C0395,CH02,E000,MP03,5,68.22,42.04
V00050,1,11/05/2025,P105,T005,C0988,CH01,E046,MP01,9,16.77,12.62
V00051,1,28/02/2024,P078,T001,C0096,CH03,E000,MP01,1,103.21,75.84
V00052,1,02/04/2023,P004,T005,C0395,CH02,E000,MP02,6,318.23,147.52
V00052,2,02/04/2023,P128,T021,C0141,CH02,E000,MP02,3,128.23,76.69
V00053,1,15/03/2025,P128,T009,C0436,CH01,E032,MP02,4,617.96,262.05
V00053,2,15/03/2025,P143,T001,C0212,CH01,E012,MP02,1,172.3,102.33
V00053,3,15/03/2025,P004,T009,C0579,CH01,E077,MP02,1,164.66,87.07
V00054,1,12/10/2025,P046,T001,C0528,CH02,E000,MP01,7,92.75,45.11
V00054,2,12/10/2025,P004,T021,C0304,CH02,E000,MP01,8,270.69,132.57
V00054,3,12/10/2025,P128,T005,C0660,CH02,E000,MP01,3,185.22,74.99
V00055,1,04/01/2025,P007,T005,C0436,CH03,E000,MP01,8,386.59,242.15
V00056,1,14/01/2025,P027,T005,C0973,CH02,E000,MP03,8,125.54,78.47
V00056,2,14/01/2025,P061,T013,C0938,CH02,E000,MP03,5,384.86,177.6
V00057,1,31/08/2024,P059,T010,C0465,CH03,E000,MP03,9,376.55,154.17
V00057,2,31/08/2024,P040,T013,C0938,CH03,E000,MP03,9,44.54,35.78
V00057,3,31/08/2024,P019,T005,C0562,CH03,E000,MP03,2,288.64,144.42
V00058,1,20/10/2024,P007,T009,C0436,CH01,E070,MP03,5,205.37,124.38
V00058,2,20/10/2024,P126,T009,C0528,CH01,E066,MP02,3,446.61,179.31
V00059,1,17/07/2025,P076,T005,C0738,CH02,E000,MP03,6,629.31,278.97
V00059,2,17/07/2025,P103,T013,C0002,CH02,E000,MP03,4,116.39,64.85
V00060,1,20/03/2023,P007,T001,C0708,CH01,E012,MP03,3,30.56,18.04
V00060,2,20/03/2023,P019,T013,C0115,CH01,E012,MP03,6,415.6,271.47
V00060,3,20/03/2023,P126,T009,C0928,CH01,E012,MP03,9,129.62,67.15
V00061,1,18/09/2024,P106,T013,C0982,CH01,E059,MP03,6,286.82,192.9
V00061,2,18/09/2024,P027,T009,C0579,CH01,E015,MP03,2,353.0,174.65
V00061,3,18/09/2024,P054,T005,C0395,CH01,E046,MP03,9,14.38,9.68
V00062,1,01/01/2024,P054,T013,C0494,CH01,E072,MP02,8,592.95,280.96
V00062,2,01/01/2024,P059,T001,C0212,CH01,E016,MP02,4,232.84,158.65
V00062,3,01/01/2024,P100,T005,C0938,CH01,E012,MP03,8,428.35,220.91
V00063,1,15/11/2023,P143,T009,C0579,CH03,E000,MP01,1,426.94,191.92
V00063,2,15/11/2023,P082,T005,C0184,CH03,E000,MP02,5,310.6,127.16
V00064,1,12/04/2024,P143,T005,C0528,CH03,E000,MP02,6,283.77,153.36
V00064,2,12/04/2024,P002,T005,C0115,CH03,E000,MP02,4,121.78,60.4
V00065,1,17/12/2024,P103,T005,C0044,CH03,E000,MP02,10,540.53,284.01
V00065,2,17/12/2024,P046,T013,C0041,CH03,E000,MP02,9,231.91,165.29
V00065,3,17/12/2024,P046,T009,C0115,CH03,E000,MP02,2,41.96,18.02
V00066,1,12/03/2025,P128,T010,C0184,CH01,E032,MP02,9,378.66,223.85
V00066,2,12/03/2025,P082,T010,C0002,CH01,E059,MP02,10,416.91,195.18
V00066,3,12/03/2025,P053,T021,C0658,CH01,E077,MP02,1,501.87,202.65
V00067,1,29/10/2024,P105,T021,C0096,CH03,E000,MP01,10,211.59,120.9
V00068,1,09/07/2025,P076,T010,C0002,CH02,E000,MP02,10,457.2,207.73
V00068,2,09/07/2025,P126,T005,C0494,CH02,E000,MP02,2,271.37,136.22
V00069,1,28/11/2024,P038,T009,C0528,CH03,E000,MP02,7,430.9,184.58
V00070,1,21/11/2023,P059,T013,C0041,CH03,E000,MP03,5,381.52,236.24
V00071,1,06/10/2025,P046,T005,C0973,CH02,E000,MP02,2,94.84,40.22
V00071,2,06/10/2025,P054,T021,C0044,CH02,E000,MP02,7,175.85,111.3
V00071,3,06/10/2025,P059,T013,C0115,CH02,E000,MP02,10,288.47,137.3
V00072,1,17/02/2023,P143,T005,C0141,CH03,E000,MP01,1,544.66,273.54
V00073,1,07/07/2024,P123,T005,C0046,CH02,E000,MP02,5,329.93,152.23
V00073,2,07/07/2024,P076,T005,C0044,CH02,E000,MP02,8,43.59,23.11
V00074,1,25/03/2024,P004,T013,C0494,CH03,E000,MP01,10,419.99,264.76
V00074,2,25/03/2024,P083,T013,C0528,CH03,E000,MP01,10,271.51,112.13
V00075,1,15/01/2024,P082,T010,C0512,CH01,E032,MP02,4,394.21,281.83
V00075,2,15/01/2024,P048,T010,C0928,CH01,E072,MP02,1,388.86,211.57
V00075,3,15/01/2024,P082,T010,C0304,CH01,E060,MP02,2,347.14,271.25
V00075,4,15/01/2024,P012,T010,C0708,CH01,E079,MP02,2,37.4,17.88
V00076,1,28/11/2023,P046,T009,C0781,CH03,E000,MP03,8,278.04,213.79
V00076,2,28/11/2023,P002,T005,C0096,CH03,E000,MP03,1,14.97,12.06
V00076,3,28/11/2023,P143,T013,C0928,CH03,E000,MP03,10,354.07,166.96
V00076,4,28/11/2023,P082,T013,C0494,CH03,E000,MP03,6,346.88,252.31
V00077,1,25/11/2025,P002,T005,C0658,CH02,E000,MP03,3,219.69,153.69
V00077,2,25/11/2025,P082,T005,C0041,CH02,E000,MP03,1,55.76,42.45
V00077,3,25/11/2025,P076,T005,C0660,CH02,E000,MP03,8,11.18,5.76
V00078,1,08/12/2023,P126,T010,C0494,CH02,E000,MP02,2,170.86,86.07
V00078,2,08/12/2023,P040,T010,C0881,CH02,E000,MP02,2,591.53,240.6
V00078,3,08/12/2023,P059,T010,C0436,CH02,E000,MP01,9,284.2,133.9
V00078,4,08/12/2023,P117,T010,C0494,CH02,E000,MP01,2,542.71,229.8
V00079,1,25/09/2025,P002,T013,C0708,CH02,E000,MP01,9,354.92,230.43
V00079,2,25/09/2025,P054,T013,C0436,CH02,E000,MP01,6,212.08,106.08
V00080,1,09/03/2023,P123,T010,C0141,CH01,E017,MP03,4,279.79,113.74
V00080,2,09/03/2023,P004,T010,C0738,CH01,E070,MP03,10,243.26,128.35
V00080,3,09/03/2023,P103,T009,C0512,CH01,E032,MP03,10,54.2,35.21
V00081,1,21/08/2024,P105,T010,C0494,CH02,E000,MP01,2,12.89,8.77
V00081,2,21/08/2024,P048,T010,C0395,CH02,E000,MP01,2,220.18,168.35
V00081,3,21/08/2024,P007,T010,C0304,CH02,E000,MP01,10,225.58,172.8
V00081,4,21/08/2024,P126,T010,C0579,CH02,E000,MP01,8,271.27,213.78
V00082,1,11/05/2023,P053,T010,C0882,CH03,E000,MP02,9,286.3,124.77
V00082,2,11/05/2023,P053,T010,C0579,CH03,E000,MP01,6,534.99,259.82
V00082,3,11/05/2023,P083,T021,C0562,CH03,E000,MP02,2,248.52,143.87
V00083,1,03/10/2025,P106,T005,C0940,CH03,E000,MP03,7,8.93,5.09
V00083,2,03/10/2025,P083,T010,C0002,CH03,E000,MP01,3,266.01,113.31
V00083,3,03/10/2025,P016,T005,C0973,CH03,E000,MP01,1,78.49,34.01
V00083,4,03/10/2025,P123,T009,C0988,CH03,E000,MP01,7,27.87,19.01
V00084,1,21/02/2025,P048,T021,C0046,CH02,E000,MP03,4,546.22,229.38
V00084,2,21/02/2025,P105,T001,C0184,CH02,E000,MP03,5,303.23,133.98
V00085,1,20/04/2023,P046,T009,C0212,CH01,E083,MP03,9,352.77,227.37
V00085,2,20/04/2023,P082,T021,C0882,CH01,E064,MP03,9,318.95,148.16
V00085,3,20/04/2023,P123,T013,C0881,CH01,E032,MP03,9,180.29,138.31
V00085,4,20/04/2023,P048,T005,C0212,CH01,E083,MP03,5,300.33,123.13
V00086,1,25/08/2023,P016,T021,C0154,CH01,E070,MP01,3,384.52,172.76
V00086,2,25/08/2023,P004,T010,C0801,CH01,E017,MP01,2,184.52,103.82
V00087,1,02/01/2025,P062,T010,C0041,CH03,E000,MP01,7,206.24,156.01
V00087,2,02/01/2025,P078,T010,C0938,CH03,E000,MP01,7,140.7,81.39
V00088,1,28/11/2023,P083,T001,C0465,CH03,E000,MP03,4,67.53,43.39
V00088,2,28/11/2023,P019,T001,C0781,CH03,E000,MP03,8,528.09,278.55
V00088,3,28/11/2023,P062,T001,C0882,CH03,E000,MP03,6,108.81,47.47
V00089,1,07/12/2024,P105,T021,C0660,CH01,E007,MP01,1,360.4,190.08
V00089,2,07/12/2024,P002,T021,C0982,CH01,E007,MP01,2,602.22,246.82
V00089,3,07/12/2024,P082,T021,C0928,CH01,E007,MP01,4,128.82,91.22
V00089,4,07/12/2024,P048,T021,C0154,CH01,E007,MP01,2,265.73,149.2
V00090,1,16/10/2025,P103,T009,C0528,CH03,E000,MP02,6,125.62,52.2
V00090,2,16/10/2025,P012,T009,C0781,CH03,E000,MP02,7,287.58,162.81
V00091,1,20/02/2026,P012,T001,C0494,CH02,E000,MP01,9,215.9,173.3
V00091,2,20/02/2026,P027,T013,C0212,CH02,E000,MP01,3,84.02,62.19
V00092,1,28/10/2025,P100,T013,C0579,CH02,E000,MP01,1,128.39,58.22
V00093,1,23/05/2025,P048,T009,C0465,CH03,E000,MP03,8,323.01,156.03
V00093,2,23/05/2025,P059,T009,C0881,CH03,E000,MP03,4,427.6,200.96
V00093,3,23/05/2025,P082,T009,C0141,CH03,E000,MP03,5,139.03,77.97
V00093,4,23/05/2025,P004,T009,C0184,CH03,E000,MP03,4,173.04,133.88
V00094,1,19/11/2025,P046,T013,C0465,CH01,E015,MP03,6,102.51,55.5
V00095,1,24/09/2024,P048,T001,C0002,CH02,E000,MP03,3,140.55,68.7
V00095,2,24/09/2024,P103,T021,C0658,CH02,E000,MP03,3,201.54,148.63
V00095,3,24/09/2024,P123,T005,C0988,CH02,E000,MP03,8,356.36,251.76
V00095,4,24/09/2024,P128,T009,C0938,CH02,E000,MP03,8,87.01,41.85
V00096,1,16/04/2025,P016,T005,C0184,CH02,E000,MP03,1,162.89,101.19
V00096,2,16/04/2025,P126,T005,C0096,CH02,E000,MP01,4,700.82,291.8
V00097,1,18/11/2025,P128,T009,C0579,CH03,E000,MP01,3,531.94,272.68
V00097,2,18/11/2025,P123,T010,C0044,CH03,E000,MP01,9,112.37,51.95
V00097,3,18/11/2025,P103,T010,C0562,CH03,E000,MP01,10,284.13,137.47
V00098,1,26/09/2023,P053,T005,C0708,CH03,E000,MP03,1,184.75,79.23
V00098,2,26/09/2023,P115,T001,C0938,CH03,E000,MP03,1,327.54,173.12
V00098,3,26/09/2023,P082,T005,C0046,CH03,E000,MP03,2,140.63,65.17
V00098,4,26/09/2023,P062,T001,C0154,CH03,E000,MP03,9,257.77,137.22
V00099,1,01/06/2023,P038,T010,C0928,CH02,E000,MP03,6,345.45,245.4
V00099,2,01/06/2023,P019,T010,C0928,CH02,E000,MP03,2,99.6,41.73
V00100,1,26/02/2025,P062,T009,C0781,CH02,E000,MP02,2,520.28,211.64
V00101,1,30/03/2023,P128,T009,C0660,CH03,E000,MP01,4,371.33,212.97
V00101,2,30/03/2023,P062,T005,C0304,CH03,E000,MP01,1,338.17,250.63
V00102,1,05/12/2025,P128,T005,C0141,CH03,E000,MP02,7,524.38,225.45
V00102,2,05/12/2025,P011,T010,C0708,CH03,E000,MP02,6,34.75,15.26
V00102,3,05/12/2025,P076,T009,C0041,CH03,E000,MP02,9,172.5,139.27
V00102,4,05/12/2025,P054,T001,C0708,CH03,E000,MP02,4,429.65,289.83
V00103,1,23/11/2025,P061,T009,C0801,CH02,E000,MP03,8,267.5,130.01
V00103,2,23/11/2025,P040,T010,C0784,CH02,E000,MP02,10,232.67,192.77
V00104,1,25/02/2025,P062,T021,C0865,CH01,E016,MP01,10,369.05,158.04
V00105,1,22/10/2024,P054,T010,C0041,CH03,E000,MP03,9,86.5,54.59
V00106,1,13/02/2026,P123,T010,C0988,CH03,E000,MP02,3,356.49,248.99
V00106,2,13/02/2026,P103,T021,C0938,CH03,E000,MP02,7,542.18,243.1
V00107,1,20/02/2023,P115,T021,C0154,CH02,E000,MP03,2,126.27,70.04
V00107,2,20/02/2023,P105,T021,C0465,CH02,E000,MP03,7,327.63,178.71
V00107,3,20/02/2023,P061,T009,C0141,CH02,E000,MP03,3,108.49,81.36
V00108,1,26/06/2024,P054,T021,C0738,CH01,E083,MP02,6,547.47,286.83
V00108,2,26/06/2024,P048,T010,C0738,CH01,E017,MP02,5,429.93,271.08
V00109,1,05/08/2025,P062,T010,C0579,CH01,E032,MP01,7,195.14,112.34
V00109,2,05/08/2025,P061,T001,C0865,CH01,E064,MP01,10,121.66,63.06
V00109,3,05/08/2025,P143,T010,C0579,CH01,E059,MP01,4,155.96,80.23
V00110,1,16/01/2026,P123,T009,C0436,CH02,E000,MP02,4,271.47,108.81
V00110,2,16/01/2026,P059,T005,C0865,CH02,E000,MP02,5,128.89,81.08
V00111,1,21/03/2024,P082,T010,C0184,CH03,E000,MP02,3,13.76,9.53
V00111,2,21/03/2024,P046,T013,C0046,CH03,E000,MP02,2,337.64,242.17
V00112,1,03/04/2023,P128,T013,C0154,CH01,E083,MP02,10,43.49,31.14
V00112,2,03/04/2023,P019,T001,C0465,CH01,E000,MP02,6,353.42,209.75
V00112,3,03/04/2023,P012,T013,C0928,CH01,E054,MP02,2,168.86,120.55
V00112,4,03/04/2023,P040,T013,C0865,CH01,E012,MP02,3,391.66,285.34
V00113,1,08/06/2025,P059,T001,C0184,CH01,E060,MP01,8,587.65,239.42
V00114,1,27/05/2025,P053,T005,C0708,CH01,E066,MP03,1,102.65,78.35
V00114,2,27/05/2025,P027,T010,C0881,CH01,E015,MP03,6,61.59,30.56
V00115,1,20/08/2023,P053,T009,C0154,CH03,E000,MP01,6,200.3,158.19
V00115,2,20/08/2023,P048,T021,C0002,CH03,E000,MP01,6,565.3,278.03
V00116,1,07/03/2023,P019,T010,C0141,CH01,E000,MP01,10,407.41,259.44
V00116,2,07/03/2023,P076,T005,C0154,CH01,E079,MP01,5,346.45,177.86
V00116,3,07/03/2023,P040,T010,C0658,CH01,E070,MP01,8,117.35,53.22
V00117,1,31/01/2026,P059,T001,C0928,CH01,E060,MP01,7,213.67,163.3
V00117,2,31/01/2026,P082,T009,C0579,CH01,E012,MP01,2,228.37,112.16
V00117,3,31/01/2026,P054,T010,C0528,CH01,E017,MP03,9,283.07,230.59
V00117,4,31/01/2026,P027,T021,C0528,CH01,E016,MP01,6,207.03,141.92
V00118,1,01/04/2025,P105,T009,C0988,CH03,E000,MP03,3,499.33,297.87
V00118,2,01/04/2025,P143,T021,C0154,CH03,E000,MP03,6,135.93,81.54
V00118,3,01/04/2025,P059,T005,C0002,CH03,E000,MP03,7,442.05,263.02
V00118,4,01/04/2025,P082,T009,C0154,CH03,E000,MP03,1,202.44,98.88
V00119,1,01/09/2024,P053,T005,C0436,CH01,E015,MP03,2,458.16,247.78
V00119,2,01/09/2024,P059,T001,C0784,CH01,E032,MP03,7,364.42,210.88
V00119,3,01/09/2024,P040,T021,C0512,CH01,E054,MP03,9,383.95,192.09
V00120,1,17/05/2023,P106,T010,C0115,CH02,E000,MP03,5,51.58,24.42
V00121,1,24/11/2023,P103,T005,C0865,CH02,E000,MP03,9,233.91,123.41
V00121,2,24/11/2023,P117,T005,C0465,CH02,E000,MP03,3,59.75,32.73
V00122,1,21/01/2025,P082,T021,C0494,CH01,E065,MP01,6,441.27,269.56
V00122,2,21/01/2025,P007,T001,C0046,CH01,E065,MP01,2,106.73,78.93
V00122,3,21/01/2025,P016,T021,C0882,CH01,E015,MP01,4,39.07,17.73
V00122,4,21/01/2025,P002,T009,C0494,CH01,E059,MP01,1,317.31,166.89
V00123,1,04/09/2025,P004,T005,C0115,CH02,E000,MP03,1,323.93,267.7
V00123,2,04/09/2025,P040,T001,C0141,CH02,E000,MP03,9,316.08,144.66
V00123,3,04/09/2025,P046,T021,C0881,CH02,E000,MP03,9,293.45,145.42
V00124,1,06/09/2023,P078,T010,C0044,CH03,E000,MP03,4,345.55,160.5
V00124,2,06/09/2023,P100,T013,C0973,CH03,E000,MP03,5,339.31,230.29
V00124,3,06/09/2023,P126,T013,C0708,CH03,E000,MP02,10,62.72,40.24
V00124,4,06/09/2023,P123,T005,C0784,CH03,E000,MP03,8,176.42,84.22
V00125,1,31/05/2025,P040,T001,C0494,CH02,E000,MP03,5,394.67,177.72
V00125,2,31/05/2025,P011,T001,C0738,CH02,E000,MP02,7,71.54,32.67
